name,artist,album,popularity,market,type,owner,tracks,followers
A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),93.0,US,track,,,
Espresso,Sabrina Carpenter,Espresso,99.0,US,track,,,
Please Please Please,Sabrina Carpenter,Please Please Please,98.0,US,track,,,
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",95.0,US,track,,,
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,99.0,US,track,,,
LUNCH,Billie Eilish,HIT ME HARD AND SOFT,94.0,US,track,,,
HOT TO GO!,Chappell Roan,The Rise and Fall of a Midwest Princess,89.0,US,track,,,
I Had Some Help (Feat. Morgan Wallen),Post Malone,I Had Some Help,95.0,US,track,,,
CHIHIRO,Billie Eilish,HIT ME HARD AND SOFT,93.0,US,track,,,
Red Wine Supernova,Chappell Roan,The Rise and Fall of a Midwest Princess,88.0,US,track,,,
Power Pop,,,,US,playlist,Spotify,70.0,
Music mix (all eras and genres),,,,US,playlist,thedecimator980,3450.0,
CLEAN Doctors Office/Reception/Lobby Music for hot people ✨,,,,US,playlist,Julia Taylor 🫶🏼,441.0,
Pop Remix,,,,US,playlist,Spotify,75.0,
Best of 70s 80s 90s Greatest Hits,,,,US,playlist,TicklyTim,673.0,
Tapped In,,,,US,playlist,Spotify,29.0,
BEST GUITAR SOLOS OF ALL TIME,,,,US,playlist,t.riccardo,949.0,
Workout Jams,,,,US,playlist,mandrews33,37.0,
mike’s fav hits ,,,,US,playlist,carpe diem,29.0,
90s and 2000s Nostalgia,,,,US,playlist,Adam Delphia,537.0,
Sabrina Carpenter,,,91.0,US,artist,,,10413060.0
Taylor Swift,,,100.0,US,artist,,,115852841.0
Lana Del Rey,,,90.0,US,artist,,,37110903.0
Billie Eilish,,,94.0,US,artist,,,96235242.0
Chappell Roan,,,87.0,US,artist,,,1923839.0
Post Malone,,,90.0,US,artist,,,44529005.0
Drake,,,94.0,US,artist,,,89541501.0
Ariana Grande,,,91.0,US,artist,,,97694471.0
SZA,,,89.0,US,artist,,,21460927.0
The Weeknd,,,93.0,US,artist,,,86410708.0
Stargazing,Myles Smith,Stargazing,93.0,GB,track,,,
A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),93.0,GB,track,,,
Belong Together,Mark Ambor,Belong Together,91.0,GB,track,,,
Espresso,Sabrina Carpenter,Espresso,99.0,GB,track,,,
